value,footprint,quantity,references
GND,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP2']
2N7002,Package_TO_SOT_SMD:SOT-23,2,"['Q1', 'Q2']"
IN_PlayPause,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP4']
OUT_PlayPause,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP5']
XIAO_ESP32C6,RF_Module:MCU_Seeed_ESP32C3,1,['U1']
10k,Resistor_SMD:R_0402_1005Metric,4,"['R5', 'R3', 'R4', 'R7']"
10uF,Capacitor_SMD:C_0402_1005Metric,1,['C1']
15k,Resistor_SMD:R_0402_1005Metric,2,"['R8', 'R6']"
IN_OnOff,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP3']
OUT_Cue,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP6']
100R,Resistor_SMD:R_0402_1005Metric,2,"['R2', 'R1']"
100nF,Capacitor_SMD:C_0402_1005Metric,1,['C2']
VIN_5V3,TestPoint:TestPoint_Pad_1.5x1.5mm,1,['TP1']
